Name,Unit,Opt Name,List,Min Bounds,Max Bounds,Min Opt Bounds,Max Opt Bounds,Notes
gear_ratio_1,,gear_ratio_idx_1,[ 2  4  5 10],0.0,3.0,0.0,3.0,stage 1  gear ratio
module_1,mm,module_idx_1,[0.5 0.8 1.  1.5 2.  2.5 3.  4.  5.  6. ],0.0,9.0,0.0,9.0,stage 1 module
module_2,mm,module_idx_2,[0.5 0.8 1.  1.5 2.  2.5 3.  4.  5.  6. ],0.0,9.0,0.0,9.0,stage 2 module
phi_1,deg,phi_idx_1,[14.5 20. ],0.0,1.0,0.0,1.0,stage 1 pressure angle
phi_2,deg,phi_idx_2,[14.5 20. ],0.0,1.0,0.0,1.0,stage 2 pressure angle
N_2,,N_2_minus_min,,0.0,15.0,0.0,15.0,number of teeth in gear 2
N_4,,N_4_minus_min,,0.0,15.0,0.0,15.0,number of teeth in gear 4
F_1,mm,F_1_over_module_1,,9.42477796076938,15.707963267948966,0.0,1.0,stage 1 face width
F_2,mm,F_2_over_module_2,,9.42477796076938,15.707963267948966,0.0,1.0,stage 2 face width
L_1,m,L_1_over_L,,0.1,0.5,0.0,1.0,stage 1 gear position
L_2,m,L_2_over_L,,0.5,0.9,0.0,1.0,stage 2 gear position
d_shaft_gear_1,mm,d_shaft_gear_1,,5.0,50.0,0.0,1.0,"nominal gear ID, shaft diameter for stage 1 gear side "
d_shaft_gear_2,mm,d_shaft_gear_2,,5.0,35.0,0.0,1.0,"nominal gear ID, shaft diameter for stage 2 gear side "
d_shaft_shoulder,mm,d_shaft_shoulder_over_max_d_shaft_gear,,1.01,2.0,0.0,1.0,shoulder diameter
