a_t,r_t,Kt
0.5,0.03,9.15
0.6,0.03,9.05
0.7,0.03,8.95
0.8,0.03,8.85
0.9,0.03,8.78
1.0,0.03,8.70
1.5,0.03,8.35
2.0,0.03,8.10
3.0,0.03,7.75
4.0,0.03,7.50
5.0,0.03,7.32
6.0,0.03,7.20
0.5,0.04,8.35
0.6,0.04,8.25
0.7,0.04,8.15
0.8,0.04,8.05
0.9,0.04,7.98
1.0,0.04,7.90
1.5,0.04,7.60
2.0,0.04,7.40
3.0,0.04,7.10
4.0,0.04,6.90
5.0,0.04,6.72
6.0,0.04,6.60
0.5,0.05,7.70
0.6,0.05,7.62
0.7,0.05,7.55
0.8,0.05,7.48
0.9,0.05,7.44
1.0,0.05,7.40
1.5,0.05,7.10
2.0,0.05,6.90
3.0,0.05,6.60
4.0,0.05,6.40
5.0,0.05,6.22
6.0,0.05,6.10
0.5,0.07,6.90
0.6,0.07,6.80
0.7,0.07,6.70
0.8,0.07,6.62
0.9,0.07,6.56
1.0,0.07,6.50
1.5,0.07,6.25
2.0,0.07,6.10
3.0,0.07,5.82
4.0,0.07,5.60
5.0,0.07,5.42
6.0,0.07,5.30
0.5,0.10,5.90
0.6,0.10,5.82
0.7,0.10,5.75
0.8,0.10,5.68
0.9,0.10,5.64
1.0,0.10,5.60
1.5,0.10,5.35
2.0,0.10,5.20
3.0,0.10,4.95
4.0,0.10,4.80
5.0,0.10,4.62
6.0,0.10,4.50
0.5,0.15,5.10
0.6,0.15,5.02
0.7,0.15,4.95
0.8,0.15,4.88
0.9,0.15,4.84
1.0,0.15,4.80
1.5,0.15,4.60
2.0,0.15,4.50
3.0,0.15,4.25
4.0,0.15,4.10
5.0,0.15,3.98
6.0,0.15,3.90
0.5,0.20,4.80
0.6,0.20,4.72
0.7,0.20,4.65
0.8,0.20,4.58
0.9,0.20,4.54
1.0,0.20,4.50
1.5,0.20,4.25
2.0,0.20,4.10
3.0,0.20,3.90
4.0,0.20,3.70
5.0,0.20,3.58
6.0,0.20,3.50
0.8,0.40,4.30
0.9,0.40,4.15
1.0,0.40,4.00
1.5,0.40,3.65
2.0,0.40,3.40
3.0,0.40,3.20
4.0,0.40,3.10
5.0,0.40,3.03
6.0,0.40,3.00
1.3,0.60,3.60
1.5,0.60,3.35
2.0,0.60,3.00
2.5,0.60,2.85
3.0,0.60,2.78
4.0,0.60,2.70
5.0,0.60,2.65
6.0,0.60,2.60
2.3,1.00,3.00
2.5,1.00,2.85
3.0,1.00,2.60
3.5,1.00,2.45
4.0,1.00,2.30
5.0,1.00,2.25
6.0,1.00,2.20
