a_t,r_t,Kts
0.5,0.03,4.82
0.6,0.03,4.78
0.7,0.03,4.76
0.8,0.03,4.74
0.9,0.03,4.72
1.0,0.03,4.70
1.2,0.03,4.68
1.4,0.03,4.66
1.6,0.03,4.64
1.8,0.03,4.62
2.0,0.03,4.60
2.5,0.03,4.58
3.0,0.03,4.56
3.5,0.03,4.55
4.0,0.03,4.54
4.5,0.03,4.53
5.0,0.03,4.52
5.5,0.03,4.51
6.0,0.03,4.50
0.5,0.04,4.42
0.6,0.04,4.38
0.7,0.04,4.36
0.8,0.04,4.34
0.9,0.04,4.32
1.0,0.04,4.30
1.2,0.04,4.27
1.4,0.04,4.24
1.6,0.04,4.22
1.8,0.04,4.20
2.0,0.04,4.18
2.5,0.04,4.16
3.0,0.04,4.14
3.5,0.04,4.13
4.0,0.04,4.12
4.5,0.04,4.11
5.0,0.04,4.10
5.5,0.04,4.09
6.0,0.04,4.08
0.5,0.06,3.96
0.6,0.06,3.90
0.7,0.06,3.87
0.8,0.06,3.84
0.9,0.06,3.82
1.0,0.06,3.80
1.2,0.06,3.76
1.4,0.06,3.72
1.6,0.06,3.69
1.8,0.06,3.67
2.0,0.06,3.65
2.5,0.06,3.62
3.0,0.06,3.59
3.5,0.06,3.57
4.0,0.06,3.55
4.5,0.06,3.53
5.0,0.06,3.52
5.5,0.06,3.50
6.0,0.06,3.48
0.5,0.10,3.38
0.6,0.10,3.32
0.7,0.10,3.28
0.8,0.10,3.25
0.9,0.10,3.22
1.0,0.10,3.20
1.2,0.10,3.16
1.4,0.10,3.12
1.6,0.10,3.10
1.8,0.10,3.08
2.0,0.10,3.05
2.5,0.10,3.01
3.0,0.10,2.98
3.5,0.10,2.96
4.0,0.10,2.94
4.5,0.10,2.92
5.0,0.10,2.90
5.5,0.10,2.88
6.0,0.10,2.86
1.0,0.20,2.65
1.1,0.20,2.63
1.2,0.20,2.61
1.3,0.20,2.59
1.4,0.20,2.57
1.5,0.20,2.55
1.6,0.20,2.54
1.7,0.20,2.53
1.8,0.20,2.52
1.9,0.20,2.51
2.0,0.20,2.50
2.2,0.20,2.49
2.4,0.20,2.48
2.6,0.20,2.47
2.8,0.20,2.46
3.0,0.20,2.45
3.2,0.20,2.44
3.4,0.20,2.43
3.6,0.20,2.42
3.8,0.20,2.41
4.0,0.20,2.40
4.2,0.20,2.39
4.4,0.20,2.38
4.6,0.20,2.37
4.8,0.20,2.36
5.0,0.20,2.35
5.5,0.20,2.34
6.0,0.20,2.33
