r_d,D_d,Kts
0.012,2.00,2.80
0.020,2.00,2.44
0.030,2.00,2.15
0.050,2.00,1.82
0.070,2.00,1.65
0.100,2.00,1.48
0.150,2.00,1.34
0.200,2.00,1.26
0.250,2.00,1.20
0.300,2.00,1.17
0.015,1.33,2.32
0.020,1.33,2.18
0.030,1.33,1.95
0.050,1.33,1.70
0.070,1.33,1.55
0.100,1.33,1.42
0.150,1.33,1.30
0.200,1.33,1.22
0.250,1.33,1.17
0.300,1.33,1.14
0.015,1.20,2.18
0.020,1.20,2.04
0.030,1.20,1.85
0.050,1.20,1.62
0.070,1.20,1.48
0.100,1.20,1.36
0.150,1.20,1.24
0.200,1.20,1.18
0.250,1.20,1.14
0.300,1.20,1.12
0.015,1.09,1.82
0.020,1.09,1.66
0.030,1.09,1.52
0.050,1.09,1.36
0.070,1.09,1.27
0.100,1.09,1.20
0.150,1.09,1.14
0.200,1.09,1.11
0.250,1.09,1.09
0.300,1.09,1.08
