r_d,D_d,Kt
0.025,3.00,3.00
0.030,3.00,2.78
0.040,3.00,2.54
0.050,3.00,2.36
0.070,3.00,2.10
0.100,3.00,1.85
0.150,3.00,1.62
0.200,3.00,1.48
0.250,3.00,1.38
0.300,3.00,1.31
0.015,1.50,3.00
0.020,1.50,2.68
0.030,1.50,2.38
0.050,1.50,2.02
0.070,1.50,1.82
0.100,1.50,1.64
0.150,1.50,1.48
0.200,1.50,1.38
0.250,1.50,1.30
0.300,1.50,1.25
0.010,1.10,2.75
0.020,1.10,2.42
0.030,1.10,2.18
0.050,1.10,1.88
0.070,1.10,1.70
0.100,1.10,1.55
0.150,1.10,1.40
0.200,1.10,1.30
0.250,1.10,1.25
0.300,1.10,1.21
0.010,1.05,2.40
0.020,1.05,2.20
0.030,1.05,2.02
0.050,1.05,1.78
0.070,1.05,1.62
0.100,1.05,1.48
0.150,1.05,1.34
0.200,1.05,1.26
0.250,1.05,1.21
0.300,1.05,1.18
0.010,1.02,2.15
0.020,1.02,1.95
0.030,1.02,1.80
0.050,1.02,1.62
0.070,1.02,1.50
0.100,1.02,1.38
0.150,1.02,1.28
0.200,1.02,1.21
0.250,1.02,1.17
0.300,1.02,1.14
