N_desired,N_mating,J
17.0,17,0.291
18.0,17,0.297
19.0,17,0.301
20.0,17,0.306
21.0,17,0.310
22.0,17,0.314
23.0,17,0.318
24.0,17,0.322
25.0,17,0.325
26.0,17,0.328
27.0,17,0.331
28.0,17,0.334
29.0,17,0.337
30.0,17,0.340
32.0,17,0.346
34.0,17,0.352
35.0,17,0.354
38.0,17,0.359
40.0,17,0.362
42.0,17,0.365
45.0,17,0.369
48.0,17,0.372
50.0,17,0.374
55.0,17,0.381
60.0,17,0.386
70.0,17,0.394
80.0,17,0.400
100.0,17,0.412
125.0,17,0.421
150.0,17,0.428
200.0,17,0.436
275.0,17,0.444
17.0,25,0.298
18.0,25,0.304
19.0,25,0.310
20.0,25,0.315
21.0,25,0.320
22.0,25,0.325
23.0,25,0.329
24.0,25,0.333
25.0,25,0.336
26.0,25,0.340
27.0,25,0.343
28.0,25,0.346
29.0,25,0.349
30.0,25,0.352
32.0,25,0.358
34.0,25,0.364
35.0,25,0.366
38.0,25,0.372
40.0,25,0.376
42.0,25,0.379
45.0,25,0.384
48.0,25,0.387
50.0,25,0.390
55.0,25,0.396
60.0,25,0.401
70.0,25,0.410
80.0,25,0.417
100.0,25,0.429
125.0,25,0.438
150.0,25,0.445
200.0,25,0.453
275.0,25,0.460
17.1,35,0.304
18.0,35,0.310
19.0,35,0.316
20.0,35,0.322
21.0,35,0.327
22.0,35,0.331
23.0,35,0.336
24.0,35,0.340
25.0,35,0.344
26.0,35,0.347
27.0,35,0.351
28.0,35,0.354
29.0,35,0.357
30.0,35,0.360
32.0,35,0.366
34.0,35,0.372
35.0,35,0.374
38.0,35,0.380
40.0,35,0.383
42.0,35,0.387
45.0,35,0.392
48.0,35,0.396
50.0,35,0.399
55.0,35,0.406
60.0,35,0.411
70.0,35,0.421
80.0,35,0.428
100.0,35,0.440
125.0,35,0.450
150.0,35,0.457
200.0,35,0.467
275.0,35,0.474
17.3,50,0.311
18.0,50,0.316
19.0,50,0.322
20.0,50,0.328
21.0,50,0.333
22.0,50,0.338
23.0,50,0.343
24.0,50,0.347
25.0,50,0.351
26.0,50,0.355
27.0,50,0.359
28.0,50,0.362
29.0,50,0.365
30.0,50,0.368
32.0,50,0.375
34.0,50,0.381
35.0,50,0.383
38.0,50,0.390
40.0,50,0.394
42.0,50,0.398
45.0,50,0.403
48.0,50,0.407
50.0,50,0.410
55.0,50,0.418
60.0,50,0.423
70.0,50,0.433
80.0,50,0.441
100.0,50,0.453
125.0,50,0.464
150.0,50,0.472
200.0,50,0.482
275.0,50,0.490
17.7,85,0.319
18.0,85,0.321
19.0,85,0.327
20.0,85,0.333
21.0,85,0.339
22.0,85,0.344
23.0,85,0.349
24.0,85,0.354
25.0,85,0.358
26.0,85,0.362
27.0,85,0.366
28.0,85,0.370
29.0,85,0.373
30.0,85,0.377
32.0,85,0.383
34.0,85,0.390
35.0,85,0.393
38.0,85,0.400
40.0,85,0.404
42.0,85,0.408
45.0,85,0.413
48.0,85,0.418
50.0,85,0.422
55.0,85,0.430
60.0,85,0.436
70.0,85,0.446
80.0,85,0.454
100.0,85,0.468
125.0,85,0.480
150.0,85,0.488
200.0,85,0.498
275.0,85,0.505
18.1,170,0.327
19.0,170,0.333
20.0,170,0.339
21.0,170,0.345
22.0,170,0.350
23.0,170,0.355
24.0,170,0.361
25.0,170,0.365
26.0,170,0.369
27.0,170,0.374
28.0,170,0.378
29.0,170,0.381
30.0,170,0.385
32.0,170,0.392
34.0,170,0.399
35.0,170,0.402
38.0,170,0.409
40.0,170,0.413
42.0,170,0.418
45.0,170,0.423
48.0,170,0.428
50.0,170,0.432
55.0,170,0.440
60.0,170,0.447
70.0,170,0.458
80.0,170,0.467
100.0,170,0.481
125.0,170,0.493
150.0,170,0.502
200.0,170,0.513
275.0,170,0.522
18.6,1000,0.336
19.0,1000,0.338
20.0,1000,0.345
21.0,1000,0.351
22.0,1000,0.357
23.0,1000,0.363
24.0,1000,0.368
25.0,1000,0.373
26.0,1000,0.378
27.0,1000,0.382
28.0,1000,0.386
29.0,1000,0.390
30.0,1000,0.394
32.0,1000,0.401
34.0,1000,0.407
35.0,1000,0.410
38.0,1000,0.418
40.0,1000,0.422
42.0,1000,0.427
45.0,1000,0.432
48.0,1000,0.437
50.0,1000,0.442
55.0,1000,0.450
60.0,1000,0.457
70.0,1000,0.469
80.0,1000,0.478
100.0,1000,0.493
125.0,1000,0.506
150.0,1000,0.515
200.0,1000,0.526
275.0,1000,0.534
12.0,17,0.210
12.0,25,0.210
12.0,35,0.210
12.0,50,0.211
12.0,85,0.211
12.0,170,0.212
12.0,1000,0.212
13.0,17,0.226
13.0,25,0.226
13.0,35,0.227
13.0,50,0.227
13.0,85,0.228
13.0,170,0.229
13.0,1000,0.230
14.0,17,0.242
14.0,25,0.242
14.0,35,0.243
14.0,50,0.244
14.0,85,0.245
14.0,170,0.247
14.0,1000,0.248
15.0,17,0.258
15.0,25,0.259
15.0,35,0.260
15.0,50,0.261
15.0,85,0.262
15.0,170,0.264
15.0,1000,0.266
16.0,17,0.275
16.0,25,0.276
16.0,35,0.277
16.0,50,0.279
16.0,85,0.281
16.0,170,0.283
16.0,1000,0.286
18.0,25,0.304
18.0,35,0.310
18.0,50,0.316
18.0,85,0.321
18.0,170,0.327
18.0,1000,0.336
