D_book,d_book,a_book,d3,t,Hardness,Thrust Load Capacity (lbs),Magnetic Properties,Specifications Met,Pkg. Qty.,Part Number,Pkg. Cost
4,3.8,0.5,3.7,0.4,Rockwell C47,110,Magnetic,DIN 471,10,90967A501,10.7
5,4.8,0.7,4.7,0.6,Rockwell C47,220,Magnetic,DIN 471,5,90967A109,12.25
6,5.7,0.8,5.6,0.7,Rockwell C47,320,Magnetic,DIN 471,10,90967A110,7.68
7,6.7,0.9,6.5,0.8,Rockwell C47,580,Magnetic,DIN 471,10,90967A115,8.07
8,7.6,0.9,7.4,0.8,Rockwell C47,670,Magnetic,DIN 471,10,90967A120,8.24
9,8.6,1.1,8.4,1,Rockwell C47,780,Magnetic,DIN 471,10,90967A155,11.12
10,9.6,1.1,9.3,1,Rockwell C47,890,Magnetic,DIN 471,5,90967A160,5.7
11,10.5,1.1,10.2,1,Rockwell C47,"1,010",Magnetic,DIN 471,5,90967A163,8.14
12,11.5,1.1,11,1,Rockwell C47,"1,120",Magnetic,DIN 471,5,90967A165,5.92
13,12.4,1.1,11.9,1,Rockwell C47,"1,300",Magnetic,DIN 471,5,90967A170,6.04
14,13.4,1.1,12.9,1,Rockwell C47,"1,430",Magnetic,DIN 471,5,90967A175,6.15
15,14.3,1.1,13.8,1,Rockwell C47,"1,550",Magnetic,DIN 471,5,90967A180,6.21
16,15.2,1.1,14.7,1,Rockwell C47,"1,660",Magnetic,DIN 471,5,90967A205,6.32
17,16.2,1.1,15.7,1,Rockwell C47,"1,790",Magnetic,DIN 471,5,90967A210,6.94
18,17,1.3,16.5,1.2,Rockwell C47,"3,820",Magnetic,DIN 471,5,90967A220,8.21
19,18,1.3,17.5,1.2,Rockwell C47,"3,820",Magnetic,DIN 471,5,90967A225,8.63
20,19,1.3,18.5,1.2,Rockwell C47,"3,840",Magnetic,DIN 471,5,90967A235,9.03
21,20,1.3,19.5,1.2,Rockwell C47,"3,770",Magnetic,DIN 471,5,90967A237,12.84
22,21,1.3,20.5,1.2,Rockwell C47,"3,790",Magnetic,DIN 471,5,90967A241,13.09
23,22,1.3,21.5,1.2,Rockwell C47,"3,730",Magnetic,DIN 471,5,90967A246,14.19
24,22.9,1.3,22.2,1.2,Rockwell C47,"3,610",Magnetic,DIN 471,5,90967A265,10.92
25,23.9,1.3,23.2,1.2,Rockwell C47,"3,640",Magnetic,DIN 471,5,90967A270,11.02
26,24.9,1.3,24.2,1.2,Rockwell C47,"3,610",Magnetic,DIN 471,1,90967A275,2.81
27,25.6,1.3,24.9,1.2,Rockwell C47,"3,680",Magnetic,DIN 471,1,90967A281,3.29
28,26.6,1.6,25.9,1.5,Rockwell C47,"7,210",Magnetic,DIN 471,1,90967A286,3.35
29,27.6,1.6,26.9,1.5,Rockwell C47,"7,140",Magnetic,DIN 471,1,90967A292,4.11
30,28.6,1.6,27.9,1.5,Rockwell C47,"7,210",Magnetic,DIN 471,1,90967A297,4.77
32,30.3,1.6,29.6,1.5,Rockwell C47,"7,010",Magnetic,DIN 471,1,90967A312,4.9
33,31.3,1.6,30.5,1.5,Rockwell C47,"7,100",Magnetic,__,1,90967A502,5
34,32.3,1.6,31.5,1.5,Rockwell C47,"7,030",Magnetic,DIN 471,1,90967A323,4.9
35,33,1.6,32.2,1.5,Rockwell C47,"6,920",Magnetic,DIN 471,1,90967A325,5.88
36,34,1.9,33.2,1.75,Rockwell C47,"11,100",Magnetic,DIN 471,1,90967A330,6.39
38,36,1.9,35.2,1.75,Rockwell C47,"11,100",Magnetic,DIN 471,1,90967A333,7.1
40,37.5,1.9,36.5,1.75,Rockwell C47,"11,400",Magnetic,DIN 471,1,90967A341,3.86
42,39.5,1.85,38.5,1.75,Rockwell C47,"11,240",Magnetic,__,1,90967A503,3.72
45,42.5,1.9,41.5,1.75,Rockwell C47,"11,000",Magnetic,DIN 471,1,90967A345,4.37
48,45.5,1.85,44.5,1.75,Rockwell C47,"11,100",Magnetic,__,1,90967A504,4.36
50,47,2.15,45.8,2,Rockwell C47,"16,400",Magnetic,DIN 471,1,90967A350,5.59
52,49,2.15,47.8,2,Rockwell C47,"16,430",Magnetic,__,1,90967A505,4.11
55,52,2.15,50.8,2,Rockwell C47,"16,000",Magnetic,DIN 471,1,90967A360,7.31
56,53,2.15,51.8,2,Rockwell C47,"15,910",Magnetic,__,1,90967A506,7.03
58,55,2.15,53.8,2,Rockwell C47,"15,980",Magnetic,__,1,90967A507,7.7
60,57,2.15,55.8,2,Rockwell C47,"15,500",Magnetic,DIN 471,1,90967A375,7.9
62,59,2.15,57.8,2,Rockwell C47,"15,570",Magnetic,__,1,90967A508,8.7
65,62,2.65,60.8,2.5,Rockwell C47,"30,300",Magnetic,DIN 471,1,90967A390,9.89
70,67,2.65,65.5,2.5,Rockwell C47,"30,100",Magnetic,DIN 471,1,90967A410,11.29
75,72,2.65,70.5,2.5,Rockwell C47,"29,200",Magnetic,DIN 471,1,90967A425,12.05
80,76.5,2.65,74.5,2.5,Rockwell C47,"28,700",Magnetic,DIN 471,1,90967A440,12.76
