Type,No.,d3,d3_tol_min,d3_tol_max,t,t_tol_min,t_tol_max,b_approx,a_approx,d0_min,d4,d1,d2,d2_tol_min,d2_tol_max,m,m_tol_min,m_tol_max,n_min
STWN,3,2.7,-0.15,0.04,0.25,-0.025,0.025,0.5,1.7,0.7,7,3,2.85,-0.04,0,0.35,0,0.1,0.3
STWN,4,3.7,-0.15,0.04,0.4,-0.03,0.03,0.9,2.2,0.8,9,4,3.8,-0.04,0,0.5,0,0.1,0.3
STWN,5,4.7,-0.15,0.04,0.6,-0.04,0.04,1.1,2.4,0.8,10.5,5,4.8,-0.04,0,0.7,0,0.1,0.3
STWN,6,5.6,-0.2,0.06,0.7,-0.04,0.04,1.3,2.8,1,12,6,5.7,-0.04,0,0.8,0,0.1,0.5
STWN,7,6.5,-0.2,0.06,0.8,-0.04,0.04,1.4,3,1,14,7,6.7,-0.06,0,0.9,0,0.1,0.5
STWN,8,7.4,-0.2,0.06,0.8,-0.04,0.04,1.6,3,1,15,8,7.6,-0.06,0,0.9,0,0.1,0.6
STWS (Stainless Steel),4,3.6,-0.1,0.1,0.25,-0.03,0.03,0.7,1.4,0.7,9,4,3.7,-0.06,0.06,0.3,0,0.1,1.0
STWS (Stainless Steel),5,4.5,-0.1,0.1,0.4,-0.04,0.04,0.7,1.4,0.7,10.5,5,4.7,-0.06,0.06,0.45,0,0.1,1.5
STWS (Stainless Steel),6,5.5,-0.1,0.1,0.4,-0.04,0.04,0.8,2.0,0.7,12,6,5.7,-0.06,0.06,0.45,0,0.1,1.5
STWS (Stainless Steel),7,6.3,-0.1,0.1,0.65,-0.04,0.04,0.9,2.0,1,14,7,6.5,-0.06,0.06,0.7,0,0.1,1.5
STWS (Stainless Steel),8,7.1,-0.1,0.1,0.65,-0.04,0.04,1.0,2.2,1,15,8,7.4,-0.06,0.06,0.7,0,0.1,1.5
STWN/STWS,10,9.3,-0.15,0.15,1,-0.05,0.05,1.8,3,1.2,17,10,9.6,-0.09,0,1.15,0,0.14,1.5
